   Id    , user_id ,sex,     latitude      ,     longitude     ,     created_at      ,, venue_id 
984301,2041916,M,                   ,                   , 2012-04-21 17:39:01,,5222
984222,15824,M,38.8951118,-77.0363658, 2012-04-21 17:43:47,,5222
984315,1764391,F,                   ,                   , 2012-04-21 17:37:18,,5222
984234,44652,M,33.800745,-84.41052, 2012-04-21 17:43:43,,5222
984249,2146840,F,                   ,                   , 2012-04-21 17:42:58,,5222
984268,2146843,F,                   ,                   , 2012-04-21 17:42:38,,5222
984281,2146846,F,                   ,                   , 2012-04-21 17:39:40,,5222
984291,105054,M,45.5234515,-122.6762071, 2012-04-21 17:39:22,,5222
6651,1338710,M,                   ,                   , 2011-12-08 23:11:23,,219703
984318,2146539,M,40.764462,-111.904565, 2012-04-21 17:35:46,,5222
984232,93870,F,33.4483771,-112.0740373, 2012-04-21 17:38:18,,380645
984483,1030290,F,32.2217429,-110.926479, 2012-04-21 17:58:54,,955969
984685,304253,F,40.65,-73.95, 2012-04-21 18:19:34,,23558
984470,720850,M,33.4483771,-112.0740373, 2012-04-21 17:02:47,,749715
984500,54536,M,                   ,                   , 2012-04-21 18:07:26,,63452
984610,1639666,M,33.414768,-111.9093095, 2012-04-21 18:04:58,,442605
984722,1566751,M,                   ,                   , 2012-04-21 18:14:26,,23558
10222,1340753,M,                   ,                   , 2011-12-09 00:55:22,,331466
984653,1647192,M,42.3584308,-71.0597732, 2012-04-21 18:23:22,,23558
984251,298547,F,33.4483771,-112.0740373, 2012-04-21 17:34:33,,77014
984528,2046311,M,33.414768,-111.9093095, 2012-04-21 18:18:29,,15682
984736,2146942,F,                   ,                   , 2012-04-21 18:04:53,,23558
984545,2070173,F,                   ,                   , 2012-04-21 16:36:56,,15682
984237,2146838,F,                   ,                   , 2012-04-21 14:40:30,,18553
984257,423903,M,                   ,                   , 2012-04-21 17:59:32,,66777
984438,2096701,M,33.4483771,-112.0740373, 2012-04-21 18:21:19,,4432
984277,1648816,M,33.2486638,-111.6342993, 2012-04-21 17:49:30,,18006
984320,349414,F,32.8406775,-117.2587935, 2012-04-21 17:27:36,,819
984343,2146861,F,                   ,                   , 2012-04-21 17:26:26,,819
984359,1861538,F,34.0522342,-118.2436849, 2012-04-21 17:18:22,,819
984288,1758300,M,                   ,                   , 2012-04-21 16:58:08,,18006
984308,728134,M,                   ,                   , 2012-04-21 16:10:39,,18006
984484,2146891,M,                   ,                   , 2012-04-21 18:16:13,,4432
984252,97526,M,                   ,                   , 2012-04-21 17:55:51,,190625
984294,1447044,M,33.414768,-111.9093095, 2012-04-21 17:33:12,,1135957
984336,2064557,M,33.4483771,-112.0740373, 2012-04-21 16:25:00,,111071
984372,2069299,F,                   ,                   , 2012-04-21 15:49:47,,65187
984404,2052283,M,                   ,                   , 2012-04-21 17:34:34,,410624
984527,1243334,F,34.483901,-114.3224548, 2012-04-21 18:22:59,,989443
984544,2146904,F,                   ,                   , 2012-04-21 18:14:30,,989443
984326,2046338,F,34.0489281,-111.0937311, 2012-04-21 17:56:27,,989443
984454,2098254,M,32.7153292,-117.1572551, 2012-04-21 17:49:30,,610703
984395,1508584,M,33.4483771,-112.0740373, 2012-04-21 17:58:10,,410624
984351,2146862,M,                   ,                   , 2012-04-21 17:43:00,,989443
984476,2052349,F,                   ,                   , 2012-04-21 17:56:09,,11402
984245,1415332,F,                   ,                   , 2012-04-21 18:06:28,,190625
984231,1868751,F,38.8951118,-77.0363658, 2012-04-21 15:53:38,,21948
984322,1096457,M,33.7458511,-117.826166, 2012-04-21 18:10:08,,10935
984269,1750189,M,                   ,                   , 2012-04-21 17:51:01,,231550
984474,2146888,M,34.0961111,-118.1058333, 2012-04-21 17:39:56,,10935
984355,966186,M,34.0522342,-118.2436849, 2012-04-21 18:03:47,,10935
984488,2047785,M,                   ,                   , 2012-04-21 17:39:04,,10935
984345,482032,M,37.629349,-122.400087, 2012-04-21 18:04:38,,10935
984508,2146895,F,4.5980556,-74.0758333, 2012-04-21 17:38:25,,10935
984381,28655,M,33.8041667,-118.1580556, 2012-04-21 17:59:40,,10935
984346,2098173,F,40.735657,-74.1723667, 2012-04-21 18:17:31,,11195
984329,2146859,F,                   ,                   , 2012-04-21 18:00:29,,83860
984413,38199,F,41.8781136,-87.6297982, 2012-04-21 18:11:07,,11195
984370,1655437,M,                   ,                   , 2012-04-21 18:14:12,,11195
984401,681226,M,41.8781136,-87.6297982, 2012-04-21 18:11:52,,11195
984193,1784430,M,                   ,                   , 2012-04-21 17:55:33,,103165
984426,1511365,F,21.3866667,-158.0091667, 2012-04-21 18:09:29,,11195
984385,2146871,F,                   ,                   , 2012-04-21 18:12:42,,11195
984364,2146866,F,                   ,                   , 2012-04-21 18:17:14,,11195
984261,2146198,M,40.5512165,-85.6023643, 2012-04-21 17:17:50,,277915
984289,2146848,M,                   ,                   , 2012-04-21 17:58:06,,11196
984311,2146852,M,                   ,                   , 2012-04-21 17:24:01,,11196
984327,2146857,M,                   ,                   , 2012-04-21 17:05:20,,11196
984340,2145952,M,40.7143528,-74.0059731, 2012-04-21 16:49:15,,11196
984375,2095187,M,40.7143528,-74.0059731, 2012-04-21 18:14:14,,950642
984389,1340412,F,                   ,                   , 2012-04-21 18:08:12,,950644
984410,2146874,M,                   ,                   , 2012-04-21 17:56:26,,950644
984335,2142478,F,43.6525,-79.3816667, 2012-04-21 18:12:08,,4432
984061,1410070,F,                   ,                   , 2012-04-21 16:37:07,,390
984414,2145864,F,26.9102778,-101.4222222, 2012-04-21 17:52:41,,950642
984260,1664249,M,33.4483771,-112.0740373, 2012-04-21 17:56:34,,1042601
984325,779034,M,                   ,                   , 2012-04-21 17:14:56,,853836
984348,171677,M,33.3061605,-111.8412502, 2012-04-21 17:58:31,,649854
984362,1765859,F,                   ,                   , 2012-04-21 16:40:53,,649854
984575,2050583,F,                   ,                   , 2012-04-21 16:03:59,,54812
984461,37617,F,33.4483771,-112.0740373, 2012-04-21 18:13:58,,103165
984607,2008640,M,41.9211423,-87.8092266, 2012-04-21 17:07:23,,119500
984444,1575365,M,                   ,                   , 2012-04-21 17:30:57,,254073
984522,2047436,M,                   ,                   , 2012-04-21 17:47:22,,54270
6547,1338665,M,                   ,                   , 2011-12-08 23:50:00,,7284
984549,2142198,M,33.4483771,-112.0740373, 2012-04-21 15:43:30,,420637
984558,1978773,M,                   ,                   , 2012-04-21 17:57:21,,13972
984716,1808168,F,33.3061605,-111.8412502, 2012-04-21 18:23:50,,779585
984386,684338,M,                   ,                   , 2012-04-21 18:18:13,,190625
984314,2146854,F,                   ,                   , 2012-04-21 17:33:21,,280373
984267,604760,F,34.0028786,-84.1446376, 2012-04-21 17:41:48,,280373
984536,95016,F,36.114646,-115.172816, 2012-04-21 17:06:41,,107047
984278,1397722,M,                   ,                   , 2012-04-21 17:38:27,,280373
984290,235981,M,38.916343,-94.383516, 2012-04-21 17:38:13,,280373
983663,2146725,M,                   ,                   , 2012-04-21 16:04:26,,280373
984299,1356096,F,38.6581722,-77.2497049, 2012-04-21 17:35:17,,280373
984551,3674,F,36.114646,-115.172816, 2012-04-21 16:53:44,,107047
984491,602215,F,40.703546,-73.802032, 2012-04-21 18:12:23,,107047
984510,2146896,M,                   ,                   , 2012-04-21 18:06:48,,107047
984519,1376256,M,                   ,                   , 2012-04-21 17:58:34,,107047
984564,2074593,M,36.114646,-115.172816, 2012-04-21 16:51:47,,107047
984574,1420200,M,36.114646,-115.172816, 2012-04-21 16:39:42,,107047
984590,2146915,M,                   ,                   , 2012-04-21 16:03:47,,107047
984319,1764391,M,                   ,                   , 2012-04-21 17:37:18,,5222
984323,389783,F,37.7749295,-122.4194155, 2012-04-21 17:35:43,,5222
984333,271365,M,                   ,                   , 2012-04-21 17:35:15,,5222
984365,2096675,F,45.5234515,-122.6762071, 2012-04-21 17:30:11,,5222
6304,1338543,F,                   ,                   , 2011-12-08 23:09:48,,468097
984405,403857,F,38.4404674,-122.7144314, 2012-04-21 17:27:04,,5222
984420,2146877,M,                   ,                   , 2012-04-21 17:26:57,,5222
